OBJECTID_1,FID_brooklyn_100,OBJECTID,DFIRM_ID,VERSION_ID,FLD_AR_ID,STUDY_TYP,FLD_ZONE,ZONE_SUBTY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,AR_SUBTRV,BFE_REVERT,DEP_REVERT,DUAL_ZONE,SOURCE_CIT,Shape_Leng,FID_cartodb_query,name,holc_id,holc_grade,Shape_Length,Shape_Area,area_sf
23,64,297,360497,1.1.1.0,360497_1941,NP,AE, ,T,9.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.393928200048000,55, ,D20,D,0.043467843008973,0.000004165767324,421464.976017640961800
24,64,297,360497,1.1.1.0,360497_1941,NP,AE, ,T,9.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.393928200048000,56, ,D21,D,0.066741878134798,0.000020514614869,2075543.538081083679572
25,66,300,360497,1.1.1.0,360497_1946,NP,AE, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.478991186761000,61, ,D5,D,0.003161638747440,0.000000094671536,9565.441005591010253
26,66,300,360497,1.1.1.0,360497_1946,NP,AE, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.478991186761000,62, ,D6,D,0.002150137766113,0.000000233414121,23581.030018518071302
27,70,311,360497,1.1.1.0,360497_1999,NP,AE, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.767009885816000,1, ,B1,B,0.000352356846602,0.000000005390728,544.525745058161874
28,70,311,360497,1.1.1.0,360497_1999,NP,AE, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.767009885816000,18, ,C1,C,0.004279459698230,0.000000623864255,62992.331813851829793
29,70,311,360497,1.1.1.0,360497_1999,NP,AE, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.767009885816000,43, ,D1,D,0.025174250636461,0.000005505073210,555830.495673530502245
30,70,311,360497,1.1.1.0,360497_1999,NP,AE, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.767009885816000,54, ,D2,D,0.024340190832563,0.000015520439445,1567305.409143397118896
31,70,311,360497,1.1.1.0,360497_1999,NP,AE, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.767009885816000,59, ,D3,D,0.011533221312077,0.000001404843554,141893.343656933138845
32,70,311,360497,1.1.1.0,360497_1999,NP,AE, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.767009885816000,61, ,D5,D,0.065868618164126,0.000035818579675,3619096.022883590776473
33,70,311,360497,1.1.1.0,360497_1999,NP,AE, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.767009885816000,62, ,D6,D,0.019861768375045,0.000003891695981,393158.157832509605214
34,71,315,360497,1.1.1.0,360497_2012,NP,AE, ,T,8.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.454810798100000,32, ,C22,C,0.004848308802400,0.000000099861621,10102.315668656432535
35,71,315,360497,1.1.1.0,360497_2012,NP,AE, ,T,8.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.454810798100000,57, ,D22,D,0.011436797796113,0.000000777293827,78609.007066433914588
