OBJECTID,FID_houston_100,DFIRM_ID,VERSION_ID,FLD_AR_ID,STUDY_TYP,FLD_ZONE,ZONE_SUBTY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,AR_SUBTRV,BFE_REVERT,DEP_REVERT,DUAL_ZONE,SOURCE_CIT,FID_cartodb_query,name,holc_id,holc_grade,Shape_Length,Shape_Area,area_sf
88,3430,48201C,2.3.3.3,48201C_8512,SFHAs WITH HIGH FLOOD RISK,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,0, , ,B,0.001412700304300,0.000000022723186,2629.149104292361244
89,3431,48201C,2.3.3.3,48201C_8513,SFHAs WITH HIGH FLOOD RISK,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,0, , ,B,0.001573499851926,0.000000076195992,8816.122326857028384
90,3432,48201C,2.3.3.3,48201C_8514,SFHAs WITH HIGH FLOOD RISK,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,0, , ,B,0.015924833329121,0.000001287918504,149018.042045991431223
91,3433,48201C,2.3.3.3,48201C_8515,SFHAs WITH HIGH FLOOD RISK,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,0, , ,B,0.002978506869850,0.000000072053256,8336.796541765252186
92,3434,48201C,2.3.3.3,48201C_8516,SFHAs WITH HIGH FLOOD RISK,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,0, , ,B,0.000521630419074,0.000000008133478,941.067525836430491
93,3435,48201C,2.3.3.3,48201C_8517,SFHAs WITH HIGH FLOOD RISK,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,0, , ,B,0.003477247844050,0.000000151084685,17480.942146558580134
94,3436,48201C,2.3.3.3,48201C_8518,SFHAs WITH HIGH FLOOD RISK,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,0, , ,B,0.007469907840550,0.000000341745069,39540.887841620977269
95,3437,48201C,2.3.3.3,48201C_8519,SFHAs WITH HIGH FLOOD RISK,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,0, , ,B,0.009751134692383,0.000000690553323,79899.781264292047126
96,3463,48201C,2.3.3.3,48201C_8636,SFHAs WITH HIGH FLOOD RISK,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,0, , ,B,0.000961374192194,0.000000058806493,6804.199482724548034
97,3464,48201C,2.3.3.3,48201C_8637,SFHAs WITH HIGH FLOOD RISK,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,0, , ,B,0.000353395404823,0.000000003389786,392.212299397959839
98,3465,48201C,2.3.3.3,48201C_8638,SFHAs WITH HIGH FLOOD RISK,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,0, , ,B,0.006979876677928,0.000000264097657,30557.109553932583367
99,3466,48201C,2.3.3.3,48201C_8639,SFHAs WITH HIGH FLOOD RISK,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,0, , ,B,0.004093151752153,0.000000080725568,9340.173201273590166
100,3468,48201C,2.3.3.3,48201C_8641,SFHAs WITH HIGH FLOOD RISK,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,0, , ,B,0.002288335068334,0.000000041927532,4851.201814948489300
101,3469,48201C,2.3.3.3,48201C_8643,SFHAs WITH HIGH FLOOD RISK,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,0, , ,B,0.001873695748531,0.000000075062558,8685.016779039906396
102,3470,48201C,2.3.3.3,48201C_8644,SFHAs WITH HIGH FLOOD RISK,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,0, , ,B,0.000990314151149,0.000000022378492,2589.280896207711521
103,3476,48201C,2.3.3.3,48201C_8731,SFHAs WITH HIGH FLOOD RISK,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,0, , ,B,0.075277885998624,0.000016011141593,1852704.872808823827654
104,3476,48201C,2.3.3.3,48201C_8731,SFHAs WITH HIGH FLOOD RISK,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,1, , ,C,0.027768468934875,0.000005625295157,650887.090681185247377
105,3476,48201C,2.3.3.3,48201C_8731,SFHAs WITH HIGH FLOOD RISK,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,5, , ,C,0.007391461031943,0.000000749571594,86723.733156564863748
