OBJECTID,FID_miami_100,DFIRM_ID,VERSION_ID,FLD_AR_ID,STUDY_TYP,FLD_ZONE,ZONE_SUBTY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,AR_SUBTRV,BFE_REVERT,DEP_REVERT,DUAL_ZONE,SOURCE_CIT,FID_cartodb_query,name,holc_id,holc_grade,Shape_Length,Shape_Area,area_sf
112,947,12086C,1.1.1.0,12086C_2629,NP,VE, ,T,15.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_FIS1,25,Coconut Grove,B19,B,0.041615073523797,0.000017784151445,2128263.511107831727713
113,977,12086C,1.1.1.0,12086C_2719,NP,VE, ,T,15.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_LOMC52,25,Coconut Grove,B19,B,0.007513694893579,0.000000667115466,79836.746295577424462
114,982,12086C,1.1.1.0,12086C_2733,NP,VE, ,T,15.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_LOMC62,1,Brickell Ave. District,A10,A,0.000972035548097,0.000000034867546,4171.695062931888060
115,1007,12086C,1.1.1.0,12086C_2822,NP,AH, ,T,8.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,65,Hialeah,D13,D,0.000255214663979,0.000000003780627,451.928127574008499
116,1013,12086C,1.1.1.0,12086C_2838,NP,AH, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,58, ,C7,C,0.012990640699227,0.000004861370859,581268.524261703714728
117,1013,12086C,1.1.1.0,12086C_2838,NP,AH, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,69, ,D5,D,0.003227850333698,0.000000529465314,63307.462322960149322
118,1028,12086C,1.1.1.0,12086C_2886,NP,AH, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,44, ,C13,C,0.005423674763316,0.000001096941453,131222.243616025545634
119,1031,12086C,1.1.1.0,12086C_2890,NP,VE, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_LOMC14,60,Buena Vista and Miramar,C9,C,0.000640555381415,0.000000015438866,1846.471165138666493
120,1046,12086C,1.1.1.0,12086C_2921,NP,AH, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,69, ,D5,D,0.011259623345754,0.000001665031893,199084.450907965539955
121,1104,12086C,1.1.1.0,12086C_3062,NP,AH, ,T,7.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,32,Miami Springs,B25,B,0.020140825774022,0.000004899931886,585926.582465162267908
122,1111,12086C,1.1.1.0,12086C_3078,NP,AH, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,20,Holleman Park,B14,B,0.004567303649751,0.000000304044800,36373.370616995809542
123,1111,12086C,1.1.1.0,12086C_3078,NP,AH, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,44, ,C13,C,0.014611420110034,0.000002032141541,243104.056149490817916
124,1113,12086C,1.1.1.0,12086C_3085,NP,AH, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,64, ,D12,D,0.007761730693443,0.000000839928326,100466.218025779497111
125,1117,12086C,1.1.1.0,12086C_3094,NP,AH, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,44, ,C13,C,0.010919186861587,0.000001097472445,131286.084790292370599
126,1122,12086C,1.1.1.0,12086C_3106,NP,AH, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,58, ,C7,C,0.028252495964637,0.000006734980865,805334.265797609812580
127,1122,12086C,1.1.1.0,12086C_3106,NP,AH, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,68, ,D4,D,0.000018897804243,0.000000000019237,2.300413785913678
128,1122,12086C,1.1.1.0,12086C_3106,NP,AH, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,69, ,D5,D,0.019943651330188,0.000011358038556,1358181.170052156317979
129,1126,12086C,1.1.1.0,12086C_3113,NP,VE, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_LOMC47,60,Buena Vista and Miramar,C9,C,0.001702065358552,0.000000055915802,6687.155677741066029
130,1139,12086C,1.1.1.0,12086C_3143,NP,AH, ,T,9.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,69, ,D5,D,0.001053171394307,0.000000046428045,5551.044760635161765
131,1143,12086C,1.1.1.0,12086C_3152,NP,VE, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_LOMC14,60,Buena Vista and Miramar,C9,C,0.002044538341236,0.000000128129081,15324.269308865781568
132,1183,12086C,1.1.1.0,12086C_3248,NP,AH, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,66, ,D2,D,0.008611376205978,0.000002410914772,288222.571707426453941
133,1218,12086C,1.1.1.0,12086C_3353,NP,AH, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,66, ,D2,D,0.000895940081842,0.000000017122342,2047.004070221101074
134,1223,12086C,1.1.1.0,12086C_3360,NP,VE, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_LOMC31,60,Buena Vista and Miramar,C9,C,0.000594944521301,0.000000008786277,1050.728699020853810
135,1233,12086C,1.1.1.0,12086C_3382,NP,VE, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_LOMC41,33,Miami Shores,B3,B,0.002039637061976,0.000000097292270,11629.916377093346455
136,1238,12086C,1.1.1.0,12086C_3391,NP,VE, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_LOMC29,60,Buena Vista and Miramar,C9,C,0.000869280272460,0.000000040318611,4821.931218657668978
137,1262,12086C,1.1.1.0,12086C_3469,NP,AH, ,T,9.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,64, ,D12,D,0.000845587505612,0.000000034432090,4118.612829785741269
138,1281,12086C,1.1.1.0,12086C_3508,NP,AH, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,43, ,C12,C,0.000545132610200,0.000000012341741,1476.304490921597562
139,1281,12086C,1.1.1.0,12086C_3508,NP,AH, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,44, ,C13,C,0.039402941425387,0.000011211175937,1341111.870195423951373
140,1289,12086C,1.1.1.0,12086C_3522,NP,VE, ,T,15.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_FIS1,46,Kings Park,C15,C,0.013669907746093,0.000001813850443,217028.701473629393149
